"S.No.","State","Disaster","Date","No. of Districts Affected","Villages Affected","Population Affected","Deaths","Injured","Missing","Houses Damaged","Animal Deaths","Crop Affected (Ha)","Infrastructure Affected","Rainfall (mm)","People Evacuated","Relief Camps","Camp Inmates"
"1","Himachal Pradesh","Air, Road and Rail Accidents","31-12-2025","1","0","0","1","0","0","0","0","0.00","0","1.10","0","0","0"
"2","Uttarakhand","Air, Road and Rail Accidents","31-12-2025","1","0","0","0","1","0","0","0","0.00","0","0.00","0","0","0"
"3","Jammu and Kashmir","Air, Road and Rail Accidents","31-12-2025","1","0","0","0","0","0","0","0","0.00","0","5.20","0","0","0"
"4","Sikkim","Heavy Rain","31-12-2025","1","3","13","0","0","0","0","0","0.00","0","1.00","0","0","0"
"5","Puducherry","Heavy Rain","31-12-2025","4","0","0","0","0","0","0","0","0.00","0","1.00","0","0","0"
"6","Himachal Pradesh","Air, Road and Rail Accidents","30-12-2025","1","0","0","1","6","0","0","0","0.00","0","0.00","0","0","0"
"7","Himachal Pradesh","Bear attack","30-12-2025","1","1","2","0","2","0","0","0","0.00","0","0.00","0","0","0"
"8","Himachal Pradesh","Industrial Incident and Road Accident","30-12-2025","1","0","6","3","3","0","0","0","131.30","0","0.00","0","0","0"
"9","Jammu and Kashmir","Air, Road and Rail Accidents","30-12-2025","1","0","0","0","0","0","0","0","0.00","0","0.40","0","0","0"
"10","Puducherry","Heavy Rain","30-12-2025","4","0","0","0","0","0","0","0","0.00","0","0.00","0","0","0"
"11","Uttarakhand","Air, Road and Rail Accidents","30-12-2025","1","0","0","7","10","0","0","0","0.00","0","0.00","0","0","0"
"12","Uttarakhand","tree fall","30-12-2025","1","0","0","0","3","0","0","0","0.00","0","0.00","0","0","0"
"13","Himachal Pradesh","Air, Road and Rail Accidents","29-12-2025","1","0","0","0","1","0","0","0","0.00","0","0.00","0","0","0"
"14","Himachal Pradesh","An accident occurred during paragliding","29-12-2025","1","0","0","0","1","0","0","0","0.00","0","0.00","0","0","0"
"15","Puducherry","Heavy Rain","29-12-2025","4","0","0","0","0","0","0","0","0.00","0","0.00","0","0","0"
"16","Sikkim","Landslides and Mudflows","29-12-2025","1","1","10","0","0","0","1","0","0.00","0","0.00","0","0","0"
"17","Himachal Pradesh","Other","28-12-2025","1","0","0","1","0","0","0","0","0.00","0","0.00","0","0","0"
"18","Puducherry","Heavy Rain","28-12-2025","4","0","0","0","0","0","0","0","0.00","0","0.00","0","0","0"
